	Id	KO	KO_definition
s1369	Ea_01890	K04773	protease_IV_[EC:3.4.21.-]
s1370	Ea_01891	K01424	L-asparaginase_[EC:3.5.1.1]
s1371	Ea_01892	K08281	nicotinamidase/pyrazinamidase_[EC:3.5.1.19_3.5.1.-]
s1372	Ea_01893	K09916	uncharacterized_protein
s1373	Ea_01894	K07305	peptide-methionine_(R)-S-oxide_reductase_[EC:1.8.4.12]_
s1374	Ea_01895	K00134	glyceraldehyde_3-phosphate_dehydrogenase_(phosphorylating)_[EC:1.2.1.12]
s1375	Ea_01896	K01792	glucose-6-phosphate_1-epimerase_[EC:5.1.3.15]
s1376	Ea_01898	K07274	MipA_family_protein
s1377	Ea_01899	K07180	serine_protein_kinase
s1378	Ea_01900	K09786	uncharacterized_protein
s1379	Ea_01903	K11105	potassium/hydrogen_antiporter
s1380	Ea_01904	K16566	exopolysaccharide_production_protein_ExoY_
s1381	Ea_01905	K07552	MFS_transporter,_DHA1_family,_multidrug_resistance_protein
s1382	Ea_01906	K01775	alanine_racemase_[EC:5.1.1.1]
s1383	Ea_01907	K00285	D-amino-acid_dehydrogenase_[EC:1.4.5.1]
s1384	Ea_01908	K06415	stage_V_sporulation_protein_R
s1385	Ea_01909	K03603	GntR_family_transcriptional_regulator,_negative_regulator_for_fad_regulon_and_positive_regulator_of_fabA_
s1386	Ea_01910	K03611	protein_dithiol:quinone_oxidoreductase_[EC:1.8.5.9]_
s1387	Ea_01911	K09160	uncharacterized_protein
s1388	Ea_01912	K01557	acylpyruvate_hydrolase_[EC:3.7.1.5]
s1389	Ea_01914	K09902	uncharacterized_protein
s1390	Ea_01915	K03610	septum_site-determining_protein_MinC_
s1391	Ea_01916	K03609	septum_site-determining_protein_MinD_
s1392	Ea_01917	K03608	cell_division_topological_specificity_factor
s1393	Ea_01918	K03684	ribonuclease_D_[EC:3.1.13.5]
s1394	Ea_01919	K01897	long-chain_acyl-CoA_synthetase_[EC:6.2.1.3]_
s1395	Ea_01920	K07285	outer_membrane_lipoprotein
s1396	Ea_01921	K14742	tRNA_threonylcarbamoyladenosine_biosynthesis_protein_TsaB
s1397	Ea_01922	K03722	ATP-dependent_DNA_helicase_DinG_[EC:5.6.2.3]
s1398	Ea_01925	K09917	uncharacterized_protein
s1399	Ea_01926	K01665	para-aminobenzoate_synthetase_component_I_[EC:2.6.1.85]
s1400	Ea_01927	K17879	peroxisomal_coenzyme_A_diphosphatase_NUDT7_[EC:3.6.1.-]
s1401	Ea_01928	K01752	L-serine_dehydratase_[EC:4.3.1.17]
s1402	Ea_01930	K00563	23S_rRNA_(guanine745-N1)-methyltransferase_[EC:2.1.1.187]_
s1403	Ea_01931	K03704	cold_shock_protein
s1404	Ea_01932	K13985	N-acyl-phosphatidylethanolamine-hydrolysing_phospholipase_D_[EC:3.1.4.54]_
s1405	Ea_01935	K03799	heat_shock_protein_HtpX_[EC:3.4.24.-]
s1406	Ea_01936	K03797	carboxyl-terminal_processing_protease_[EC:3.4.21.102]_
s1407	Ea_01937	K03607	ProP_effector
s1408	Ea_01938	K08968	L-methionine_(R)-S-oxide_reductase_[EC:1.8.4.14]_
s1409	Ea_01939	K03808	paraquat-inducible_protein_A
s1410	Ea_01940	K06192	paraquat-inducible_protein_B
s1411	Ea_01941	K11392	16S_rRNA_(cytosine1407-C5)-methyltransferase_[EC:2.1.1.178]_
s1412	Ea_01952	K02345	DNA_polymerase_III_subunit_theta_[EC:2.7.7.7]
s1413	Ea_01953	K10857	exodeoxyribonuclease_X_[EC:3.1.11.-]
s1414	Ea_01953	K02342	DNA_polymerase_III_subunit_epsilon_[EC:2.7.7.7]
s1415	Ea_01954	K01354	oligopeptidase_B_[EC:3.4.21.83]
s1416	Ea_01956	K09918	uncharacterized_protein
s1417	Ea_01957	K08289	phosphoribosylglycinamide_formyltransferase_2.00E+00_[EC:6.3.1.21]_
s1418	Ea_01958	K00036	glucose-6-phosphate_1-dehydrogenase_[EC:1.1.1.49_1.1.1.363]_
s1419	Ea_01960	K00873	pyruvate_kinase_[EC:2.7.1.40]
s1420	Ea_01961	K08160	MFS_transporter,_DHA1_family,_multidrug/chloramphenicol_efflux_transport_protein_
s1421	Ea_01962	K02560	lauroyl-Kdo2-lipid_IVA_myristoyltransferase_[EC:2.3.1.243]_
s1422	Ea_01963	K19304	murein_DD-endopeptidase_[EC:3.4.24.-]
s1423	Ea_01964	K09815	zinc_transport_system_substrate-binding_protein
s1424	Ea_01965	K09817	zinc_transport_system_ATP-binding_protein_[EC:7.2.2.20]
s1425	Ea_01966	K09816	zinc_transport_system_permease_protein
s1426	Ea_01967	K03551	holliday_junction_DNA_helicase_RuvB_[EC:5.6.2.4]
s1427	Ea_01968	K03550	holliday_junction_DNA_helicase_RuvA_[EC:5.6.2.4]
s1428	Ea_01969	K01159	crossover_junction_endodeoxyribonuclease_RuvC_[EC:3.1.21.10]
s1429	Ea_01970	K18189	translational_activator_of_cytochrome_c_oxidase_1
s1430	Ea_01971	K08310	dihydroneopterin_triphosphate_diphosphatase_[EC:3.6.1.67]_
s1431	Ea_01972	K01876	aspartyl-tRNA_synthetase_[EC:6.1.1.12]
s1432	Ea_01974	K07136	uncharacterized_protein
s1433	Ea_01975	K15256	tRNA_(cmo5U34)-methyltransferase_[EC:2.1.1.-]
s1434	Ea_01976	K15257	tRNA_(mo5U34)-methyltransferase_[EC:2.1.1.-]
s1435	Ea_01978	K06201	copper_homeostasis_protein
s1436	Ea_01979	K14155	cysteine-S-conjugate_beta-lyase_[EC:4.4.1.13]
s1437	Ea_01980	K09907	uncharacterized_protein
s1438	Ea_01981	K01887	arginyl-tRNA_synthetase_[EC:6.1.1.19]
s1439	Ea_01982	K03516	flagellar_protein_FlhE
s1440	Ea_01983	K02400	flagellar_biosynthesis_protein_FlhA_
s1441	Ea_01984	K02401	flagellar_biosynthesis_protein_FlhB_
s1442	Ea_01985	K03414	chemotaxis_protein_CheZ
s1443	Ea_01986	K03413	two-component_system,_chemotaxis_family,_chemotaxis_protein_CheY
s1444	Ea_01987	K03412	two-component_system,_chemotaxis_family,_protein-glutamate_methylesterase/glutaminase_[EC:3.1.1.61_3.5.1.44]_
s1445	Ea_01988	K00575	chemotaxis_protein_methyltransferase_CheR_[EC:2.1.1.80]
s1446	Ea_01989	K05874	methyl-accepting_chemotaxis_protein_I,_serine_sensor_receptor
s1447	Ea_01989	K03406	methyl-accepting_chemotaxis_protein
s1448	Ea_01990	K05874	methyl-accepting_chemotaxis_protein_I,_serine_sensor_receptor
s1449	Ea_01990	K03406	methyl-accepting_chemotaxis_protein
s1450	Ea_01991	K03408	purine-binding_chemotaxis_protein_CheW_
s1451	Ea_01992	K03407	two-component_system,_chemotaxis_family,_sensor_kinase_CheA_[EC:2.7.13.3]_
s1452	Ea_01993	K02557	chemotaxis_protein_MotB
s1453	Ea_01994	K02556	chemotaxis_protein_MotA
s1454	Ea_01995	K02402	flagellar_transcriptional_activator_FlhC_
s1455	Ea_01996	K02403	flagellar_transcriptional_activator_FlhD_
s1456	Ea_01997	K00697	trehalose_6-phosphate_synthase_[EC:2.4.1.15_2.4.1.347]
s1457	Ea_01998	K01087	trehalose_6-phosphate_phosphatase_[EC:3.1.3.12]_
s1458	Ea_02000	K03503	DNA_polymerase_V_[EC:3.4.21.-]_
s1459	Ea_02001	K03502	DNA_polymerase_V
s1460	Ea_02002	K01698	porphobilinogen_synthase_[EC:4.2.1.24]
s1461	Ea_02003	K19784	chromate_reductase,_NAD(P)H_dehydrogenase_(quinone)
s1462	Ea_02004	K24160	sodium/hydrogen_antiporter
s1463	Ea_02007	K03457	nucleobase:cation_symporter-1,_NCS1_family_
s1464	Ea_02008	K00138	aldehyde_dehydrogenase_[EC:1.2.1.-]
s1465	Ea_02009	K15268	O-acetylserine/cysteine_efflux_transporter
s1466	Ea_02010	K23349	putative_dimethyl_sulfoxide_reductase_chaperone
s1467	Ea_02013	K01077	alkaline_phosphatase_[EC:3.1.3.1]
s1468	Ea_02017	K06217	phosphate_starvation-inducible_protein_PhoH_and_related_proteins
s1469	Ea_02019	K16301	deferrochelatase/peroxidase_EfeB_[EC:1.11.1.-]
s1470	Ea_02020	K07224	iron_uptake_system_component_EfeO
s1471	Ea_02021	K07243	high-affinity_iron_transporter
s1472	Ea_02022	K11928	sodium/proline_symporter
s1473	Ea_02023	K13821	RHH-type_transcriptional_regulator,_proline_utilization_regulon_repressor_/_proline_dehydrogenase_/_delta_1-pyrroline-5-carboxylate_dehydrogenase_[EC:1.5.5.2
s1474	Ea_02026	K02425	regulator_of_sigma_S_factor_FliZ
s1475	Ea_02027	K02405	RNA_polymerase_sigma_factor_FliA
s1476	Ea_02029	K02406	flagellin
s1477	Ea_02030	K02407	flagellar_hook-associated_protein_2_
s1478	Ea_02031	K02422	flagellar_secretion_chaperone_FliS_
s1479	Ea_02032	K02423	flagellar_protein_FliT
s1480	Ea_02038	K09781	uncharacterized_protein
s1481	Ea_02040	K07458	DNA_mismatch_endonuclease,_patch_repair_protein_[EC:3.1.-.-]
s1482	Ea_02041	K00558	DNA_(cytosine-5)-methyltransferase_1_[EC:2.1.1.37]_
s1483	Ea_02042	K09765	epoxyqueuosine_reductase_[EC:1.17.99.6]
s1484	Ea_02043	K06950	uncharacterized_protein
s1485	Ea_02045	K09933	MtfA_peptidase
s1486	Ea_02048	K03782	catalase-peroxidase_[EC:1.11.1.21]
s1487	Ea_02049	K11604	manganese/iron_transport_system_substrate-binding_protein
s1488	Ea_02050	K11607	manganese/iron_transport_system_ATP-binding_protein
s1489	Ea_02050	K02013	iron_complex_transport_system_ATP-binding_protein_[EC:7.2.2.-]
s1490	Ea_02051	K11605	manganese/iron_transport_system_permease_protein
s1491	Ea_02052	K11606	manganese/iron_transport_system_permease_protein
s1492	Ea_02056	K02016	iron_complex_transport_system_substrate-binding_protein
s1493	Ea_02059	K02033	peptide/nickel_transport_system_permease_protein
s1494	Ea_02060	K02035	peptide/nickel_transport_system_substrate-binding_protein
s1495	Ea_02063	K18819	inositol_3-alpha-galactosyltransferase_[EC:2.4.1.123]
s1496	Ea_02070	K13635	LysR_family_transcriptional_regulator,_cys_regulon_transcriptional_activator_
s1497	Ea_02071	K19338	LysR_family_transcriptional_regulator,_nitrogen_assimilation_regulatory_protein_
s1498	Ea_02078	K01241	AMP_nucleosidase_[EC:3.2.2.4]
s1499	Ea_02079	K00004	(R,R)-butanediol_dehydrogenase_/_meso-butanediol_dehydrogenase_/_diacetyl_reductase_[EC:1.1.1.4_1.1.1.-_1.1.1.303]
s1500	Ea_02080	K21405	sigma-54_dependent_transcriptional_regulator,_acetoin_dehydrogenase_operon_transcriptional_activator_AcoR
s1501	Ea_02083	K03719	Lrp/AsnC_family_transcriptional_regulator,_leucine-responsive_regulatory_protein
s1502	Ea_02086	K01912	phenylacetate-CoA_ligase_[EC:6.2.1.30]
s1503	Ea_02087	K00826	branched-chain_amino_acid_aminotransferase_[EC:2.6.1.42]
s1504	Ea_02094	K03327	multidrug_resistance_protein,_MATE_family
s1505	Ea_02095	K09802	uncharacterized_protein
s1506	Ea_02098	K01141	exodeoxyribonuclease_I_[EC:3.1.11.1]
s1507	Ea_02099	K14052	putrescine_importer
s1508	Ea_02102	K00765	ATP_phosphoribosyltransferase_[EC:2.4.2.17]
s1509	Ea_02103	K00013	histidinol_dehydrogenase_[EC:1.1.1.23]
s1510	Ea_02104	K00817	histidinol-phosphate_aminotransferase_[EC:2.6.1.9]
s1511	Ea_02105	K01089	imidazoleglycerol-phosphate_dehydratase_/_histidinol-phosphatase_[EC:4.2.1.19_3.1.3.15]
s1512	Ea_02106	K02501	imidazole_glycerol-phosphate_synthase_subunit_HisH_[EC:4.3.2.10]
s1513	Ea_02107	K01814	phosphoribosylformimino-5-aminoimidazole_carboxamide_ribotide_isomerase_[EC:5.3.1.16]
s1514	Ea_02108	K02500	imidazole_glycerol-phosphate_synthase_subunit_HisF_[EC:4.3.2.10]
s1515	Ea_02109	K11755	phosphoribosyl-AMP_cyclohydrolase_/_phosphoribosyl-ATP_pyrophosphohydrolase_[EC:3.5.4.19_3.6.1.31]
s1516	Ea_02110	K19055	Ala-tRNA(Pro)_deacylase_[EC:3.1.1.-]
s1517	Ea_02111	K00033	6-phosphogluconate_dehydrogenase_[EC:1.1.1.44_1.1.1.343]_
s1518	Ea_02115	K01854	UDP-galactopyranose_mutase_[EC:5.4.99.9]
s1519	Ea_02117	K09691	lipopolysaccharide_transport_system_ATP-binding_protein
s1520	Ea_02118	K09690	lipopolysaccharide_transport_system_permease_protein
s1521	Ea_02120	K00973	glucose-1-phosphate_thymidylyltransferase_[EC:2.7.7.24]
s1522	Ea_02121	K01710	dTDP-glucose_4,6-dehydratase_[EC:4.2.1.46]
s1523	Ea_02122	K01784	UDP-glucose_4-epimerase_[EC:5.1.3.2]
s1524	Ea_02123	K00963	UTP--glucose-1-phosphate_uridylyltransferase_[EC:2.7.7.9]
s1525	Ea_02124	K16696	exopolysaccharide_(amylovoran)_exporter
s1526	Ea_02125	K16703	colanic_acid/amylovoran_biosynthesis_glycosyltransferase_[EC:2.4.-.-]
s1527	Ea_02126	K16710	colanic_acid/amylovoran_biosynthesis_protein_
s1528	Ea_02127	K16709	amylovoran_biosynthesis_protein_AmsF_
s1529	Ea_02128	K16702	amylovoran_biosynthesis_glycosyltransferase_AmsE_[EC:2.4.-.-]
s1530	Ea_02129	K16701	amylovoran_biosynthesis_glycosyltransferase_AmsD_[EC:2.4.-.-]
s1531	Ea_02130	K16708	amylovoran_biosynthesis_protein_AmsC_
s1532	Ea_02131	K16700	amylovoran_biosynthesis_glycosyltransferase_AmsB_[EC:2.4.-.-]
s1533	Ea_02132	K16692	tyrosine-protein_kinase_Etk/Wzc_[EC:2.7.10.3]_
s1534	Ea_02133	K25307	low_molecular_weight_protein-tyrosine_phosphatase_[EC:3.1.3.48]
s1535	Ea_02134	K01991	polysaccharide_biosynthesis/export_protein
s1536	Ea_02135	K16707	UDP-galactose-lipid_carrier_transferase
s1537	Ea_02135	K16566	exopolysaccharide_production_protein_ExoY_
s1538	Ea_02137	K07289	AsmA_protein
s1539	Ea_02138	K01494	dCTP_deaminase_[EC:3.5.4.13]
s1540	Ea_02139	K00876	uridine_kinase_[EC:2.7.1.48]
s1541	Ea_02141	K21084	diguanylate_cyclase_[EC:2.7.7.65]
s1542	Ea_02142	K04046	hypothetical_chaperone_protein
s1543	Ea_02144	K07799	membrane_fusion_protein,_multidrug_efflux_system
s1544	Ea_02144	K03585	membrane_fusion_protein,_multidrug_efflux_system
s1545	Ea_02145	K07788	multidrug_efflux_pump
s1546	Ea_02146	K07789	multidrug_efflux_pump
s1547	Ea_02147	K07642	two-component_system,_OmpR_family,_sensor_histidine_kinase_BaeS_[EC:2.7.13.3]
s1548	Ea_02148	K07664	two-component_system,_OmpR_family,_response_regulator_BaeR
s1549	Ea_02148	K02483	two-component_system,_OmpR_family,_response_regulator
s1550	Ea_02153	K07029	diacylglycerol_kinase_(ATP)_[EC:2.7.1.107]_
s1551	Ea_02154	K00941	hydroxymethylpyrimidine/phosphomethylpyrimidine_kinase_[EC:2.7.1.49_2.7.4.7]_
s1552	Ea_02155	K00878	hydroxyethylthiazole_kinase_[EC:2.7.1.50]
s1553	Ea_02157	K04093	chorismate_mutase_[EC:5.4.99.5]
s1554	Ea_02160	K03593	ATP-binding_protein_involved_in_chromosome_partitioning
s1555	Ea_02161	K01874	methionyl-tRNA_synthetase_[EC:6.1.1.10]
s1556	Ea_02162	K06518	holin-like_protein
s1557	Ea_02164	K01489	cytidine_deaminase_[EC:3.5.4.5]
s1558	Ea_02165	K00029	malate_dehydrogenase_(oxaloacetate-decarboxylating)(NADP+)_[EC:1.1.1.40]_
s1559	Ea_02166	K03748	SanA_protein
s1560	Ea_02167	K10541	methyl-galactoside_transport_system_permease_protein
s1561	Ea_02168	K10542	methyl-galactoside_transport_system_ATP-binding_protein_[EC:7.5.2.11]
s1562	Ea_02169	K10540	methyl-galactoside_transport_system_substrate-binding_protein
s1563	Ea_02170	K02529	LacI_family_transcriptional_regulator_
s1564	Ea_02171	K07148	uncharacterized_protein
s1565	Ea_02172	K01495	GTP_cyclohydrolase_IA_[EC:3.5.4.16]_
s1566	Ea_02173	K21959	LysR_family_transcriptional_regulator,_cell_division_regulator
s1567	Ea_02174	K00121	S-(hydroxymethyl)glutathione_dehydrogenase_/_alcohol_dehydrogenase_[EC:1.1.1.284_1.1.1.1]
s1568	Ea_02175	K01070	S-formylglutathione_hydrolase_[EC:3.1.2.12]
s1569	Ea_02177	K02013	iron_complex_transport_system_ATP-binding_protein_[EC:7.2.2.-]
s1570	Ea_02178	K02015	iron_complex_transport_system_permease_protein
s1571	Ea_02179	K11733	lysine-specific_permease
s1572	Ea_02182	K01151	deoxyribonuclease_IV_[EC:3.1.21.2]
s1573	Ea_02183	K02770	fructose_PTS_system_EIIBC_or_EIIC_component_[EC:2.7.1.202]_
s1574	Ea_02184	K00882	1-phosphofructokinase_[EC:2.7.1.56]
s1575	Ea_02185	K11183	multiphosphoryl_transfer_protein_[EC:2.7.1.202]_
s1576	Ea_02185	K02784	phosphocarrier_protein_HPr
s1577	Ea_02186	K06940	uncharacterized_protein
s1578	Ea_02187	K02356	elongation_factor_P
s1579	Ea_02188	K19803	Kdo2-lipid_A_phosphotransferase_[EC:2.7.4.29]_
s1580	Ea_02189	K13694	murein_DD-endopeptidase_/_murein_LD-carboxypeptidase_[EC:3.4.-.-_3.4.17.13]
s1581	Ea_02190	K21090	c-di-GMP_phosphodiesterase_[EC:3.1.4.52]
s1582	Ea_02191	K13893	microcin_C_transport_system_substrate-binding_protein
s1583	Ea_02192	K13894	microcin_C_transport_system_permease_protein
s1584	Ea_02192	K02033	peptide/nickel_transport_system_permease_protein
s1585	Ea_02193	K13895	microcin_C_transport_system_permease_protein
s1586	Ea_02193	K02034	peptide/nickel_transport_system_permease_protein
s1587	Ea_02194	K13896	microcin_C_transport_system_ATP-binding_protein
s1588	Ea_02194	K02031	peptide/nickel_transport_system_ATP-binding_protein
s1589	Ea_02194	K02032	peptide/nickel_transport_system_ATP-binding_protein
s1590	Ea_02196	K07552	MFS_transporter,_DHA1_family,_multidrug_resistance_protein
s1591	Ea_02197	K06183	16S_rRNA_pseudouridine516_synthase_[EC:5.4.99.19]
s1592	Ea_02198	K19789	DNA_repair_protein_RadD_
s1593	Ea_02199	K02897	large_subunit_ribosomal_protein_L25
s1594	Ea_02200	K06899	nucleoid-associated_protein
s1595	Ea_02201	K09904	uncharacterized_protein
s1596	Ea_02202	K07014	uncharacterized_protein
s1597	Ea_02207	K04067	primosomal_replication_protein_N''_
s1598	Ea_02208	K07448	restriction_system_protein
s1599	Ea_02210	K16568	exopolysaccharide_production_protein_ExoZ_
s1600	Ea_02211	K07497	putative_transposase
s1601	Ea_02215	K02362	enterobactin_synthetase_component_D_[EC:6.3.2.14_2.7.8.-]
s1602	Ea_02218	K06159	multidrug/microcin_transport_system_ATP-binding/permease_protein
s1603	Ea_02219	K03919	DNA_oxidative_demethylase_[EC:1.14.11.33]_
s1604	Ea_02220	K03734	FAD:protein_FMN_transferase_[EC:2.7.1.180]_
s1605	Ea_02223	K09475	outer_membrane_pore_protein_C
s1606	Ea_02225	K07676	two-component_system,_NarL_family,_sensor_histidine_kinase_RcsD_[EC:2.7.13.3]
s1607	Ea_02226	K07687	two-component_system,_NarL_family,_captular_synthesis_response_regulator_RcsB
s1608	Ea_02227	K07677	two-component_system,_NarL_family,_capsular_synthesis_sensor_histidine_kinase_RcsC_[EC:2.7.13.3]
s1609	Ea_02228	K02469	DNA_gyrase_subunit_A_[EC:5.6.2.2]
s1610	Ea_02229	K00568	2-polyprenyl-6-hydroxyphenyl_methylase_/_3-demethylubiquinone-9_3-methyltransferase_[EC:2.1.1.222_2.1.1.64]
s1611	Ea_02230	K00525	ribonucleoside-diphosphate_reductase_alpha_chain_[EC:1.17.4.1]
s1612	Ea_02231	K00526	ribonucleoside-diphosphate_reductase_beta_chain_[EC:1.17.4.1]
s1613	Ea_02232	K11107	ferredoxin
s1614	Ea_02234	K03742	nicotinamide-nucleotide_amidase_[EC:3.5.1.42]
s1615	Ea_02237	K03549	KUP_system_potassium_uptake_protein
s1616	Ea_02238	K05594	ElaB_protein
s1617	Ea_02239	K03670	periplasmic_glucans_biosynthesis_protein_
s1618	Ea_02240	K02348	ElaA_protein
s1619	Ea_02243	K00343	NADH-quinone_oxidoreductase_subunit_N_[EC:7.1.1.2]
s1620	Ea_02244	K00342	NADH-quinone_oxidoreductase_subunit_M_[EC:7.1.1.2]
s1621	Ea_02245	K00341	NADH-quinone_oxidoreductase_subunit_L_[EC:7.1.1.2]
s1622	Ea_02246	K00340	NADH-quinone_oxidoreductase_subunit_K_[EC:7.1.1.2]
s1623	Ea_02247	K00339	NADH-quinone_oxidoreductase_subunit_J_[EC:7.1.1.2]
s1624	Ea_02248	K00338	NADH-quinone_oxidoreductase_subunit_I_[EC:7.1.1.2]
s1625	Ea_02249	K00337	NADH-quinone_oxidoreductase_subunit_H_[EC:7.1.1.2]
s1626	Ea_02250	K00336	NADH-quinone_oxidoreductase_subunit_G_[EC:7.1.1.2]
s1627	Ea_02251	K00335	NADH-quinone_oxidoreductase_subunit_F_[EC:7.1.1.2]
s1628	Ea_02252	K00334	NADH-quinone_oxidoreductase_subunit_E_[EC:7.1.1.2]
s1629	Ea_02253	K13378	NADH-quinone_oxidoreductase_subunit_C/D_[EC:7.1.1.2]
s1630	Ea_02254	K00331	NADH-quinone_oxidoreductase_subunit_B_[EC:7.1.1.2]
s1631	Ea_02255	K00330	NADH-quinone_oxidoreductase_subunit_A_[EC:7.1.1.2]
s1632	Ea_02257	K14260	alanine-synthesizing_transaminase_[EC:2.6.1.66_2.6.1.2]_
s1633	Ea_02258	K08722	5'-deoxynucleotidase_[EC:3.1.3.89]
s1634	Ea_02262	K19270	mannitol-1-/sugar-/sorbitol-6-phosphatase_[EC:3.1.3.22_3.1.3.23_3.1.3.50]_
s1635	Ea_02263	K09899	uncharacterized_protein
s1636	Ea_02264	K00925	acetate_kinase_[EC:2.7.2.1]
s1637	Ea_02265	K13788	phosphate_acetyltransferase_[EC:2.3.1.8]
s1638	Ea_02266	K02052	putative_spermidine/putrescine_transport_system_ATP-binding_protein
s1639	Ea_02267	K00375	GntR_family_transcriptional_regulator_/_MocR_family_aminotransferase_
s1640	Ea_02268	K00823	4-aminobutyrate_aminotransferase_[EC:2.6.1.19]
s1641	Ea_02269	K02055	putative_spermidine/putrescine_transport_system_substrate-binding_protein
s1642	Ea_02270	K02054	putative_spermidine/putrescine_transport_system_permease_protein
s1643	Ea_02271	K02053	putative_spermidine/putrescine_transport_system_permease_protein
s1644	Ea_02271	K11070	spermidine/putrescine_transport_system_permease_protein
s1645	Ea_02275	K07071	uncharacterized_protein
s1646	Ea_02276	K10017	histidine_transport_system_ATP-binding_protein_[EC:7.4.2.1]
s1647	Ea_02276	K02028	polar_amino_acid_transport_system_ATP-binding_protein_[EC:7.4.2.1]_
s1648	Ea_02277	K10015	histidine_transport_system_permease_protein
s1649	Ea_02278	K10016	histidine_transport_system_permease_protein
s1650	Ea_02278	K02029	polar_amino_acid_transport_system_permease_protein
s1651	Ea_02279	K10013	lysine/arginine/ornithine_transport_system_substrate-binding_protein
s1652	Ea_02279	K02030	polar_amino_acid_transport_system_substrate-binding_protein
s1653	Ea_02280	K03186	flavin_prenyltransferase_[EC:2.5.1.129]
s1654	Ea_02281	K00764	amidophosphoribosyltransferase_[EC:2.4.2.14]
s1655	Ea_02282	K03558	membrane_protein_required_for_colicin_V_production
s1656	Ea_02284	K03749	DedD_protein
s1657	Ea_02285	K11754	dihydrofolate_synthase_/_folylpolyglutamate_synthase_[EC:6.3.2.12_6.3.2.17]
s1658	Ea_02286	K01963	acetyl-CoA_carboxylase_carboxyl_transferase_subunit_beta_[EC:6.4.1.2_2.1.3.15]_
s1659	Ea_02288	K03975	membrane-associated_protein
s1660	Ea_02289	K06173	tRNA_pseudouridine38-40_synthase_[EC:5.4.99.12]_
s1661	Ea_02290	K00133	aspartate-semialdehyde_dehydrogenase_[EC:1.2.1.11]
s1662	Ea_02291	K03473	erythronate-4-phosphate_dehydrogenase_[EC:1.1.1.290]
s1663	Ea_02296	K00375	GntR_family_transcriptional_regulator_/_MocR_family_aminotransferase_
s1664	Ea_02300	K00647	3-oxoacyl-[acyl-carrier-protein]_synthase_I_[EC:2.3.1.41]_
s1665	Ea_02301	K15461	tRNA_5-methylaminomethyl-2-thiouridine_biosynthesis_bifunctional_protein_[EC:2.1.1.61_1.5.-.-]
s1666	Ea_02303	K09906	elongation_factor_P_hydroxylase_[EC:1.14.-.-]
s1667	Ea_02304	K07090	uncharacterized_protein
s1668	Ea_02305	K07261	penicillin-insensitive_murein_DD-endopeptidase_[EC:3.4.24.-]_
s1669	Ea_02306	K01736	chorismate_synthase_[EC:4.2.3.5]
s1670	Ea_02307	K07320	ribosomal_protein_L3_glutamine_methyltransferase_[EC:2.1.1.298]
s1671	Ea_02309	K08296	phosphohistidine_phosphatase_[EC:3.1.3.-]
s1672	Ea_02310	K01782	3-hydroxyacyl-CoA_dehydrogenase_/_enoyl-CoA_hydratase_/_3-hydroxybutyryl-CoA_epimerase_[EC:1.1.1.35_4.2.1.17_5.1.2.3]
s1673	Ea_02311	K00626	acetyl-CoA_C-acetyltransferase_[EC:2.3.1.9]
s1674	Ea_02312	K06076	long-chain_fatty_acid_transport_protein
s1675	Ea_02313	K04754	phospholipid-binding_lipoprotein_MlaA
s1676	Ea_02315	K02200	cytochrome_c-type_biogenesis_protein_CcmH
s1677	Ea_02316	K02199	cytochrome_c_biogenesis_protein_CcmG,_thiol:disulfide_interchange_protein_DsbE
s1678	Ea_02317	K02198	cytochrome_c-type_biogenesis_protein_CcmF
s1679	Ea_02318	K02197	cytochrome_c-type_biogenesis_protein_CcmE
s1680	Ea_02319	K02196	heme_exporter_protein_D_
s1681	Ea_02320	K02195	heme_exporter_protein_C_
s1682	Ea_02321	K02194	heme_exporter_protein_B_
s1683	Ea_02322	K02193	heme_exporter_protein_A_[EC:7.6.2.5]
s1684	Ea_02328	K16053	miniconductance_mechanosensitive_channel
s1685	Ea_02330	K01053	gluconolactonase_[EC:3.1.1.17]
s1686	Ea_02336	K14261	alanine-synthesizing_transaminase_[EC:2.6.1.-]
s1687	Ea_02337	K00845	glucokinase_[EC:2.7.1.2]
s1688	Ea_02338	K04103	indolepyruvate_decarboxylase_[EC:4.1.1.74]
s1689	Ea_02339	K19265	L-glyceraldehyde_3-phosphate_reductase_[EC:1.1.1.-]_
s1690	Ea_02341	K03322	manganese_transport_protein
s1691	Ea_02342	K11535	nucleoside_transport_protein
s1692	Ea_02345	K21993	formate_transporter
s1693	Ea_02347	K01885	glutamyl-tRNA_synthetase_[EC:6.1.1.17]
s1694	Ea_02353	K17737	LysR_family_transcriptional_regulator,_carnitine_catabolism_transcriptional_activator_
s1695	Ea_02354	K14347	solute_carrier_family_10_(sodium/bile_acid_cotransporter),_member_7
s1696	Ea_02355	K09954	uncharacterized_protein
s1697	Ea_02356	K01972	DNA_ligase_(NAD+)_[EC:6.5.1.2]_
s1698	Ea_02357	K03528	cell_division_protein_ZipA_
s1699	Ea_02358	K06203	CysZ_protein
s1700	Ea_02359	K01738	cysteine_synthase_[EC:2.5.1.47]
s1701	Ea_02360	K02784	phosphocarrier_protein_HPr
s1702	Ea_02361	K08483	phosphoenolpyruvate-protein_phosphotransferase_(PTS_system_enzyme_I)_[EC:2.7.3.9]
s1703	Ea_02362	K02777	sugar_PTS_system_EIIA_component_[EC:2.7.1.-]
s1704	Ea_02364	K02483	two-component_system,_OmpR_family,_response_regulator
